YEAR,SENDISTNUM,SEN_DIST,SEN_FIRST,SEN_LAST,SEN_PARTY,SENATOR,All_Towns
2025,38,Second Bristol and Plymouth,Mark,Montigny,(D),Mark C. Montigny (D),"ACUSHNET,DARTMOUTH,FAIRHAVEN,MATTAPOISETT,NEW BEDFORD"
2025,22,Second Essex,Joan B.,Lovely,(D),Joan B. Lovely (D),"BEVERLY,DANVERS,PEABODY,SALEM"
2025,20,Second Essex and Middlesex,Barry R.,Finegold,(D),Barry R. Finegold (D),"AMESBURY,ANDOVER,HAVERHILL,MERRIMAC,NORTH ANDOVER,TEWKSBURY,WILMINGTON"
2025,27,Second Middlesex,Patricia D.,Jehlen,(D),Patricia D. Jehlen (D),"CAMBRIDGE,MEDFORD,SOMERVILLE,WINCHESTER"
2025,34,Second Plymouth and Norfolk,Michael D.,Brady,(D),Michael D. Brady (D),"AVON,BROCKTON,EAST BRIDGEWATER,HALIFAX,HANSON,RANDOLPH,WHITMAN"
2025,29,Second Suffolk,Liz,Miranda,(D),Liz Miranda (D),BOSTON
2025,8,Second Worcester,Michael,Moore,(D),Michael O. Moore (D),"AUBURN,GRAFTON,MILLBURY,SHREWSBURY,WESTBOROUGH,WORCESTER"
2025,28,Suffolk and Middlesex,William N.,Brownsberger,(D),William N. Brownsberger (D),"BELMONT,BOSTON,CAMBRIDGE,WATERTOWN"
2025,36,Third Bristol and Plymouth,Kelly A.,Dooner,(R),Kelly A. Dooner (R),"BERKLEY,CARVER,DIGHTON,MARION,MIDDLEBOROUGH,RAYNHAM,REHOBOTH,SEEKONK,TAUNTON,WAREHAM"
2025,24,Third Essex,Brendan P.,Crighton,(D),Brendan P. Crighton (D),"LYNN,LYNNFIELD,MARBLEHEAD,NAHANT,SAUGUS,SWAMPSCOTT"
2025,15,Third Middlesex,Michael J,Barrett,(D),Michael J. Barrett (D),"BEDFORD,CARLISLE,CHELMSFORD,CONCORD,LEXINGTON,LINCOLN,WALTHAM,WESTON"
2025,25,Third Suffolk,Lydia Marie,Edwards,(D),Lydia Marie Edwards (D),"BOSTON,REVERE,WINTHROP"
2025,7,Worcester and Hampden,Ryan C.,Fattman,(R),Ryan C. Fattman (R),"BLACKSTONE,BRIMFIELD,CHARLTON,DOUGLAS,DUDLEY,HOLLAND,HOPEDALE,MENDON,MILLVILLE,MONSON,NORTHBRIDGE,OXFORD,SOUTHBRIDGE,STURBRIDGE,SUTTON,UPTON,UXBRIDGE,WALES,WEBSTER"
2025,6,Worcester and Hampshire,Peter J.,Durant,(R),Peter J. Durant (R),"BARRE,BROOKFIELD,EAST BROOKFIELD,GARDNER,HARDWICK,HOLDEN,HUBBARDSTON,LEICESTER,NEW BRAINTREE,NORTH BROOKFIELD,OAKHAM,PAXTON,PHILLIPSTON,PRINCETON,RUTLAND,SPENCER,STERLING,TEMPLETON,WARE,WEST BROOKFIELD,WESTMINSTER,WORCESTER"
2025,10,Worcester and Middlesex,John J.,Cronin,(D),John J. Cronin (D),"ASHBY,CLINTON,FITCHBURG,GROTON,LANCASTER,LEOMINSTER,LUNENBURG,SHIRLEY,TOWNSEND,WESTFORD"
