YEAR,DIST_CODE,REP_DIST,REP_FIRST,REP_LAST,REP_PARTY,REP,All_Towns
2025,MIDDLE14,14th Middlesex,Simon,Cataldo,(D),Simon Cataldo (D),"ACTON,CONCORD,CARLISLE,CHELMSFORD"
2025,MIDDLE15,15th Middlesex,Michelle,Ciccolo,(D),Michelle Ciccolo (D),"WINCHESTER,WOBURN,LEXINGTON"
2025,MIDDLE16,16th Middlesex,Rodney M.,Elliott,(D),Rodney M. Elliott (D),"CHELMSFORD,LOWELL"
2025,MIDDLE17,17th Middlesex,Vanna,Howard,(D),Vanna Howard (D),"LOWELL,TEWKSBURY"
2025,MIDDLE18,18th Middlesex,Tara T.,Hong,(D),Tara T. Hong (D),LOWELL
2025,MIDDLE19,19th Middlesex,David A.,Robertson,(D),David A. Robertson (D),"WILMINGTON,TEWKSBURY"
2025,MIDDLE20,20th Middlesex,Bradley H.,"Jones, Jr.",(R),"Bradley H. Jones, Jr. (R)","LYNNFIELD,MIDDLETON,NORTH READING,READING"
2025,MIDDLE21,21st Middlesex,Kenneth I.,Gordon,(D),Kenneth I. Gordon (D),"BURLINGTON,BEDFORD,LEXINGTON"
2025,MIDDLE22,22nd Middlesex,Marc T.,Lombardo,(D),Marc T. Lombardo (D),BILLERICA
2025,MIDDLE23,23rd Middlesex,Sean,Garballey,(D),Sean Garballey (D),"ARLINGTON,MEDFORD"
2025,MIDDLE24,24th Middlesex,David M.,Rogers,(D),David M. Rogers (D),"BELMONT,ARLINGTON,CAMBRIDGE"
2025,MIDDLE25,25th Middlesex,Marjorie C.,Decker,(D),Marjorie C. Decker (D),CAMBRIDGE
2025,MIDDLE26,26th Middlesex,Mike,Connolly,(D),Mike Connolly (D),"CAMBRIDGE,SOMERVILLE"
2025,MIDDLE27,27th Middlesex,Erika,Uyterhoeven,(D),Erika Uyterhoeven (D),SOMERVILLE
2025,MIDDLE28,28th Middlesex,Joseph W.,"McGonagle, Jr.",(D),"Joseph W. McGonagle, Jr. (D)",EVERETT
2025,MIDDLE29,29th Middlesex,Steven C.,Owens,(D),Steven C. Owens (D),"WATERTOWN,CAMBRIDGE"
2025,MIDDLE30,30th Middlesex,Richard M.,Haggerty,(D),Richard M. Haggerty (D),"READING,WOBURN"
2025,MIDDLE31,31st Middlesex,Michael Seamus,Day,(D),Michael Seamus Day (D),"STONEHAM,WINCHESTER"
2025,MIDDLE32,32nd Middlesex,Kate,Lipper-Garabedian,(D),Kate Lipper-Garabedian (D),"MALDEN,MELROSE,WAKEFIELD"
2025,MIDDLE33,33rd Middlesex,Steven,Ultrino,(D),Steven Ultrino (D),MALDEN
2025,MIDDLE34,34th Middlesex,Christine P.,Barber,(D),Christine P. Barber (D),"MEDFORD,SOMERVILLE"
2025,MIDDLE35,35th Middlesex,Paul J.,"Donato, Sr.",(D),"Paul J. Donato, Sr. (D)","MEDFORD,MALDEN"
2025,MIDDLE36,36th Middlesex,Colleen M.,Garry,(D),Colleen M. Garry (D),"DRACUT,TYNGSBOROUGH"
2025,MIDDLE37,37th Middlesex,Danillo A.,Sena,(D),Danillo A. Sena (D),"BOXBOROUGH,ACTON,AYER,GROTON,HARVARD,SHIRLEY"
2025,NORFOLK01,1st Norfolk,Bruce J.,Ayers,(D),Bruce J. Ayers (D),"RANDOLPH,QUINCY"
2025,NORFOLK02,2nd Norfolk,Tackey,Chan,(D),Tackey Chan (D),QUINCY
2025,NORFOLK03,3rd Norfolk,Ronald,Mariano,(D),Ronald Mariano (D),"HOLBROOK,QUINCY,WEYMOUTH"
2025,NORFOLK04,4th Norfolk,James M.,Murphy,(D),James M. Murphy,"HINGHAM,WEYMOUTH"
2025,NORFOLK05,5th Norfolk,Mark J.,Cusack,(D),Mark J. Cusack (D),"BRAINTREE,HOLBROOK"
2025,NORFOLK06,6th Norfolk,William C.,Galvin,(D),William C. Galvin (D),"AVON,CANTON,STOUGHTON"
2025,NORFOLK07,7th Norfolk,Richard G.,"Wells, Jr.",(D),"Richard G. Wells, Jr. (D)","RANDOLPH,MILTON"
2025,NORFOLK08,8th Norfolk,Edward,Philips,(D),Edward Philips (D),"WALPOLE,SHARON,STOUGHTON,MANSFIELD"
2025,NORFOLK09,9th Norfolk,Marcus S.,Vaughn,(R),Marcus S. Vaughn (R),"MILLIS,MEDFIELD,NORFOLK,WALPOLE,PLAINVILLE,WRENTHAM"
2025,NORFOLK10,10th Norfolk,Jeffrey N.,Roy,(D),Jeffrey N. Roy (D),"MEDWAY,FRANKLIN"
2025,NORFOLK11,11th Norfolk,Paul,McMurtry,(D),Paul McMurtry (D),"WESTWOOD,DEDHAM,WALPOLE"
2025,NORFOLK12,12th Norfolk,John H.,Rogers,(D),John H. Rogers (D),"NORWOOD,WALPOLE"
2025,NORFOLK13,13th Norfolk,Joshua,Tarsky,(D),Joshua Tarsky (D),"NEEDHAM,DOVER,MEDFIELD"
2025,NORFOLK14,14th Norfolk,Alice Hanlon,Peisch,(D),Alice Hanlon Peisch (D),"WESTON,LINCOLN,WELLESLEY"
2025,NORFOLK15,15th Norfolk,Tommy,Vitolo,(D),Tommy Vitolo (D),BROOKLINE
2025,PLY01,1st Plymouth,Michelle L.,Badger,(D),Michelle L. Badger (D),PLYMOUTH
2025,PLY02,2nd Plymouth,John R.,Gaskey,(R),John R. Gaskey (R),"MIDDLEBOROUGH,CARVER,WAREHAM"
2025,PLY03,3rd Plymouth,Joan,Meschino,(D),Joan Meschino (D),"HINGHAM,HULL,COHASSET"
2025,PLY04,4th Plymouth,Patrick Joseph,Kearney,(D),Patrick Joseph Kearney (D),"MARSHFIELD,NORWELL,SCITUATE"
2025,PLY05,5th Plymouth,David F.,Decoste,(R),David F. Decoste (R),"HANSON,HANOVER,NORWELL,ROCKLAND"
2025,PLY06,6th Plymouth,Kenneth P.,Sweezey,(R),Kenneth P. Sweezey (R),"HALIFAX,HANSON,PEMBROKE,DUXBURY,MARSHFIELD"
2025,PLY07,7th Plymouth,Alyson M.,Sullivan-Almeida,(R),Alyson M. Sullivan-Almeida (R),"EAST BRIDGEWATER,ABINGTON,WHITMAN"
2025,PLY08,8th Plymouth,Dennis C.,Gallagher,(D),Dennis C. Gallagher (D),"RAYNHAM,BRIDGEWATER"
2025,PLY09,9th Plymouth,Bridget,Plouffe,(D),Bridget Plouffe (D),"EASTON,WEST BRIDGEWATER,BROCKTON,EAST BRIDGEWATER"
2025,PLY10,10th Plymouth,Michelle M.,Dubois,(D),Michelle M. Dubois (D),BROCKTON
2025,PLY11,11th Plymouth,Rita A.,Mendes,(D),Rita A. Mendes (D),BROCKTON
2025,PLY12,12th Plymouth,Kathleen R.,LaNatra,(D),Kathleen R. LaNatra (D),"MIDDLEBOROUGH,PEMBROKE,PLYMOUTH,PLYMPTON,HALIFAX,KINGSTON"
2025,SUFFOLK01,1st Suffolk,Adrian C.,Madaro,(D),Adrian C. Madaro (D),BOSTON
2025,SUFFOLK02,2nd Suffolk,Daniel Joseph,Ryan,(D),Daniel Joseph Ryan (D),"EVERETT,BOSTON,CAMBRIDGE"
2025,SUFFOLK03,3rd Suffolk,Aaron M.,Michlewitz,(D),Aaron M. Michlewitz (D),BOSTON
2025,SUFFOLK04,4th Suffolk,David,Biele,(D),David Biele (D),BOSTON
2025,SUFFOLK05,5th Suffolk,Christopher J.,Worrell,(D),Christopher J. Worrell (D),BOSTON
2025,SUFFOLK06,6th Suffolk,Russell E.,Holmes,(D),Russell E. Holmes (D),BOSTON
2025,SUFFOLK07,7th Suffolk,Chynah,Tyler,(D),Chynah Tyler (D),BOSTON
2025,SUFFOLK08,8th Suffolk,Jay D.,Livingstone,(D),Jay D. Livingstone (D),BOSTON
2025,SUFFOLK09,9th Suffolk,John Francis,Moran,(D),John Francis Moran (D),BOSTON
2025,SUFFOLK10,10th Suffolk,William,MacGregor,(D),William McGregor (D),"BROOKLINE,BOSTON"
2025,SUFFOLK11,11th Suffolk,Judith A.,Garcia,(D),Judith A. Garcia (D),"EVERETT,CHELSEA"
2025,SUFFOLK12,12th Suffolk,Brandy,Fluker Oakley,(D),Brandy Fluker Oakley (D),"MILTON,BOSTON"
2025,SUFFOLK13,13th Suffolk,Daniel J.,Hunt,(D),Daniel J. Hunt (D),BOSTON
2025,SUFFOLK14,14th Suffolk,Rob,Consalvo,(D),Rob Consalvo (D),BOSTON
2025,SUFFOLK15,15th Suffolk,Samantha,Montano,(D),Samantha Montano (D),BOSTON
2025,SUFFOLK16,16th Suffolk,Jessica Ann,Giannino,(D),Jessica Ann Giannino (D),"REVERE,SAUGUS"
2025,SUFFOLK17,17th Suffolk,Kevin G.,Honan,(D),Kevin G. Honan (D),"BROOKLINE,BOSTON"
2025,SUFFOLK18,18th Suffolk,Michael J.,Moran,(D),Michael J. Moran (D),"BOSTON,CAMBRIDGE"
2025,SUFFOLK19,19th Suffolk,Jeffrey Rosario,Turco,(D),Jeffrey Rosario Turco (D),"REVERE,WINTHROP"
2025,WOR01,1st Worcester,Kimberly N.,Ferguson,(D),Kimberly N. Ferguson (D),"HOLDEN,PAXTON,PRINCETON,RUTLAND,WESTMINSTER"
2025,WOR02,2nd Worcester,Jonathan D.,Zlotnik,(D),Jonathan D. Zlotnik (D),"ASHBURNHAM,GARDNER,TEMPLETON,WINCHENDON"
2025,WOR03,3rd Worcester,Michael P.,Kushmerek,(D),Michael P. Kushmerek (D),"LUNENBURG,FITCHBURG"
2025,WOR04,4th Worcester,Natalie,Higgins,(D),Natalie Higgins (D),LEOMINSTER
2025,WOR05,5th Worcester,Donald R.,"Berthiaume, Jr.",(D),"Donald R. Berthiaume, Jr. (D)","LEICESTER,OAKHAM,BARRE,HUBBARDSTON,SPENCER,BROOKFIELD,EAST BROOKFIELD,HARDWICK,NEW BRAINTREE,NORTH BROOKFIELD,WARE,WEST BROOKFIELD"
2025,WOR06,6th Worcester,John,Marsi,(R),John Marsi (R),"CHARLTON,SPENCER,DUDLEY,SOUTHBRIDGE"
2025,WOR07,7th Worcester,Paul K.,Frost,(R),Paul K. Frost (R),"CHARLTON,LEICESTER,AUBURN,MILLBURY,OXFORD"
2025,WOR08,8th Worcester,Michael J.,Soter,(R),Michael J. Soter (R),"MEDWAY,BLACKSTONE,BELLINGHAM,UXBRIDGE,MILLVILLE"
2025,WOR09,9th Worcester,David K.,"Muradian, Jr.",(D),"David K. Muradian, Jr. (D)","NORTHBRIDGE,GRAFTON,UPTON"
2025,WOR10,10th Worcester,Brian William,Murray,(D),Brian William Murray (D),"MILFORD,HOPEDALE,MENDON"
2025,WOR11,11th Worcester,Hannah E.,Kane,(R),Hannah E. Kane (R),"SHREWSBURY,WESTBOROUGH"
2025,WOR12,12th Worcester,Meghan,Kilcoyne,(D),Meghan Kilcoyne (D),"LANCASTER,BERLIN,NORTHBOROUGH,BOYLSTON,CLINTON,STERLING"
2025,WOR13,13th Worcester,John J.,"Mahoney, Jr.",(D),"John J. Mahoney, Jr. (D)",WORCESTER
2025,WOR14,14th Worcester,James J.,O'Day,(D),James J. O'Day (D),"WEST BOYLSTON,WORCESTER"
2025,WOR15,15th Worcester,Mary S.,Keefe,(D),Mary S. Keefe (D),WORCESTER
2025,WOR16,16th Worcester,Daniel M.,Donahue,(D),Daniel M. Donahue (D),WORCESTER
2025,WOR17,17th Worcester,David Henry Argosky,LeBoeuf,(D),David Henry Argosky LeBoeuf (D),"LEICESTER,WORCESTER"
2025,WOR18,18th Worcester,Joseph D.,McKenna,(R),Joseph D. McKenna (R),"UXBRIDGE,DOUGLAS,OXFORD,SUTTON,WEBSTER"
2025,WOR19,19th Worcester,Kate,Donaghue,(D),Kate Donaghue (D),"SOUTHBOROUGH,FRAMINGHAM,WESTBOROUGH,NORTHBOROUGH"
