"year","houdist_id","muni_name"
"2025","FRANK02","ATHOL"
"2025","FRANK02","ERVING"
"2025","FRANK02","GILL"
"2025","FRANK02","GREENFIELD"
"2025","FRANK02","NORTHFIELD"
"2025","FRANK02","ORANGE"
"2025","FRANK02","PHILLIPSTON"
"2025","FRANK02","ROYALSTON"
"2025","FRANK02","WARWICK"
"2025","FRANK02","WINCHENDON"
"2025","HAMPDEN01","BRIMFIELD"
"2025","HAMPDEN01","HOLLAND"
"2025","HAMPDEN01","PALMER"
"2025","HAMPDEN01","STURBRIDGE"
"2025","HAMPDEN01","WALES"
"2025","HAMPDEN01","WARE"
"2025","HAMPDEN01","WARREN"
"2025","HAMPDEN02","EAST LONGMEADOW"
"2025","HAMPDEN02","HAMPDEN"
"2025","HAMPDEN02","LONGMEADOW"
"2025","HAMPDEN02","MONSON"
"2025","HAMPDEN02","SPRINGFIELD"
"2025","HAMPDEN03","AGAWAM"
"2025","HAMPDEN03","BLANDFORD"
"2025","HAMPDEN03","CHESTER"
"2025","HAMPDEN03","GRANVILLE"
"2025","HAMPDEN03","HUNTINGTON"
"2025","HAMPDEN03","MIDDLEFIELD"
"2025","HAMPDEN03","MONTGOMERY"
"2025","HAMPDEN03","RUSSELL"
"2025","HAMPDEN03","SOUTHWICK"
"2025","HAMPDEN03","TOLLAND"
"2025","HAMPDEN04","SOUTHAMPTON"
"2025","HAMPDEN04","WESTFIELD"
"2025","HAMPDEN05","CHICOPEE"
"2025","HAMPDEN05","HOLYOKE"
"2025","HAMPDEN06","AGAWAM"
"2025","HAMPDEN06","CHICOPEE"
"2025","HAMPDEN06","WEST SPRINGFIELD"
"2025","HAMPDEN06","WESTFIELD"
"2025","HAMPDEN07","BELCHERTOWN"
"2025","HAMPDEN07","LUDLOW"
"2025","HAMPDEN07","NEW SALEM"
"2025","HAMPDEN07","PELHAM"
"2025","HAMPDEN07","PETERSHAM"
"2025","HAMPDEN07","SHUTESBURY"
"2025","HAMPDEN07","WENDELL"
"2025","HAMPDEN08","CHICOPEE"
"2025","HAMPDEN09","SPRINGFIELD"
"2025","HAMPDEN10","SPRINGFIELD"
"2025","HAMPDEN11","SPRINGFIELD"
"2025","HAMPDEN12","EAST LONGMEADOW"
"2025","HAMPDEN12","MONSON"
"2025","HAMPDEN12","SPRINGFIELD"
"2025","HAMPDEN12","WILBRAHAM"
"2025","HAMPSHIRE01","CHESTERFIELD"
"2025","HAMPSHIRE01","CUMMINGTON"
"2025","HAMPSHIRE01","GOSHEN"
"2025","HAMPSHIRE01","HATFIELD"
"2025","HAMPSHIRE01","NORTHAMPTON"
"2025","HAMPSHIRE01","PLAINFIELD"
"2025","HAMPSHIRE01","WESTHAMPTON"
"2025","HAMPSHIRE01","WILLIAMSBURG"
"2025","HAMPSHIRE01","WORTHINGTON"
"2025","HAMPSHIRE02","EASTHAMPTON"
"2025","HAMPSHIRE02","GRANBY"
"2025","HAMPSHIRE02","HADLEY"
"2025","HAMPSHIRE02","SOUTH HADLEY"
"2025","HAMPSHIRE03","AMHERST"
"2025","HAMPSHIRE03","GRANBY"
"2025","MIDDLE01","ASHBY"
"2025","MIDDLE01","DUNSTABLE"
"2025","MIDDLE01","GROTON"
"2025","MIDDLE01","LUNENBURG"
"2025","MIDDLE01","PEPPERELL"
"2025","MIDDLE01","TOWNSEND"
"2025","MIDDLE02","CHELMSFORD"
"2025","MIDDLE02","LITTLETON"
"2025","MIDDLE02","WESTFORD"
"2025","MIDDLE03","BOLTON"
"2025","MIDDLE03","HUDSON"
"2025","MIDDLE03","MAYNARD"
"2025","MIDDLE03","STOW"
"2025","MIDDLE04","FRAMINGHAM"
"2025","MIDDLE04","MARLBOROUGH"
"2025","MIDDLE04","WEYMOUTH"
"2025","MIDDLE05","NATICK"
"2025","MIDDLE05","WAYLAND"
"2025","MIDDLE06","FRAMINGHAM"
"2025","MIDDLE07","ASHLAND"
"2025","MIDDLE07","FRAMINGHAM"
"2025","MIDDLE08","HOLLISTON"
"2025","MIDDLE08","HOPKINTON"
"2025","MIDDLE08","MILLIS"
"2025","MIDDLE08","SHERBORN"
"2025","MIDDLE09","WALTHAM"
"2025","MIDDLE10","NEWTON"
"2025","MIDDLE10","WALTHAM"
"2025","MIDDLE10","WATERTOWN"
"2025","MIDDLE11","NEWTON"
"2025","MIDDLE12","BROOKLINE"
"2025","MIDDLE12","NEWTON"
"2025","MIDDLE13","CONCORD"
"2025","MIDDLE13","LINCOLN"
"2025","MIDDLE13","MARLBOROUGH"
"2025","MIDDLE13","SUDBURY"
"2025","MIDDLE13","WAYLAND"
"2025","MIDDLE14","ACTON"
"2025","MIDDLE14","CARLISLE"
"2025","MIDDLE14","CHELMSFORD"
"2025","MIDDLE14","CONCORD"
"2025","MIDDLE15","LEXINGTON"
"2025","MIDDLE15","WINCHESTER"
"2025","MIDDLE15","WOBURN"
"2025","MIDDLE16","CHELMSFORD"
"2025","MIDDLE16","LOWELL"
"2025","MIDDLE17","LOWELL"
"2025","MIDDLE17","TEWKSBURY"
"2025","MIDDLE18","LOWELL"
"2025","MIDDLE19","TEWKSBURY"
"2025","MIDDLE19","WILMINGTON"
"2025","MIDDLE20","LYNNFIELD"
"2025","MIDDLE20","MIDDLETON"
"2025","MIDDLE20","NORTH READING"
"2025","MIDDLE20","READING"
"2025","MIDDLE21","BEDFORD"
"2025","MIDDLE21","BURLINGTON"
"2025","MIDDLE21","LEXINGTON"
"2025","MIDDLE22","BILLERICA"
"2025","MIDDLE23","ARLINGTON"
"2025","MIDDLE23","MEDFORD"
"2025","MIDDLE24","ARLINGTON"
"2025","MIDDLE24","BELMONT"
"2025","MIDDLE24","CAMBRIDGE"
"2025","MIDDLE25","CAMBRIDGE"
"2025","MIDDLE26","CAMBRIDGE"
"2025","MIDDLE26","SOMERVILLE"
"2025","MIDDLE27","SOMERVILLE"
"2025","MIDDLE28","EVERETT"
"2025","MIDDLE29","CAMBRIDGE"
"2025","MIDDLE29","WATERTOWN"
"2025","MIDDLE30","READING"
"2025","MIDDLE30","WOBURN"
"2025","MIDDLE31","STONEHAM"
"2025","MIDDLE31","WINCHESTER"
"2025","MIDDLE32","MALDEN"
"2025","MIDDLE32","MELROSE"
"2025","MIDDLE32","WAKEFIELD"
"2025","MIDDLE33","MALDEN"
"2025","MIDDLE34","MEDFORD"
"2025","MIDDLE34","SOMERVILLE"
"2025","MIDDLE35","MALDEN"
"2025","MIDDLE35","MEDFORD"
"2025","MIDDLE36","DRACUT"
